@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.42297,0.09064,-0.45965,-0.225902,0.0424094,-0.25949,-0.42297,0.09064,-0.45965,
-0.12085,0.10071,-0.47979,-0.225902,0.0424094,-0.25949,-0.12085,0.10071,-0.47979,
-0.2417,0.11581,-0.38249,-0.225902,0.0424094,-0.25949,-0.2417,0.11581,-0.38249,
-0.50858,0.13092,-0.25499,-0.225902,0.0424094,-0.25949,-0.50858,0.13092,-0.25499,
-0.55389,-0.0705,-0.32209,-0.225902,0.0424094,-0.25949,-0.55389,-0.0705,-0.32209,
-0.33234,0.36758,-0.45965,-0.225902,0.0424094,-0.25949,-0.33234,0.36758,-0.45965,
-0.50858,0.22156,-0.42275,-0.225902,0.0424094,-0.25949,-0.50858,0.22156,-0.42275,
-0.51361,0.09064,-0.37242,-0.225902,0.0424094,-0.25949,-0.51361,0.09064,-0.37242,
-0.47333,0.08057,-0.1946,-0.225902,0.0424094,-0.25949,-0.47333,0.08057,-0.1946,
-0.06042,0.12085,-0.42275,-0.225902,0.0424094,-0.25949,-0.06042,0.12085,-0.42275,
0.01007,0.15106,-0.37242,-0.225902,0.0424094,-0.25949,0.01007,0.15106,-0.37242,
-0.12589,0.11581,-0.12414,-0.225902,0.0424094,-0.25949,-0.12589,0.11581,-0.12414,
-0.13596,0.03525,-0.21473,-0.225902,0.0424094,-0.25949,-0.13596,0.03525,-0.21473,
-0.34241,-0.01511,-0.1275,-0.225902,0.0424094,-0.25949,-0.34241,-0.01511,-0.1275,
-0.49347,-0.12085,-0.15098,-0.225902,0.0424094,-0.25949,-0.49347,-0.12085,-0.15098,
-0.15106,0.48843,-0.49656,-0.225902,0.0424094,-0.25949,-0.15106,0.48843,-0.49656,
-0.23163,0.09064,-0.12414,-0.225902,0.0424094,-0.25949,-0.23163,0.09064,-0.12414,
-0.27695,-0.14603,-0.25499,-0.225902,0.0424094,-0.25949,-0.27695,-0.14603,-0.25499,
-0.29205,-0.0705,-0.30532,-0.225902,0.0424094,-0.25949,-0.29205,-0.0705,-0.30532,
-0.31824,0.1853,-0.16642,-0.225902,0.0424094,-0.25949,-0.31824,0.1853,-0.16642,
-0.35248,0.24673,-0.21473,-0.225902,0.0424094,-0.25949,-0.35248,0.24673,-0.21473,
-0.4834,0.14603,-0.25499,-0.225902,0.0424094,-0.25949,-0.4834,0.14603,-0.25499,
-0.30716,0.13596,-0.21808,-0.225902,0.0424094,-0.25949,-0.30716,0.13596,-0.21808,
-0.26688,-0.14603,-0.2617,-0.225902,0.0424094,-0.25949,-0.26688,-0.14603,-0.2617,
-0.4129,0.14603,-0.2919,-0.225902,0.0424094,-0.25949,-0.4129,0.14603,-0.2919,
-0.19638,0.19638,-0.36236,-0.225902,0.0424094,-0.25949,-0.19638,0.19638,-0.36236,
-0.28702,0.18127,-0.25835,-0.225902,0.0424094,-0.25949,-0.28702,0.18127,-0.25835,
-0.50354,0.02014,-0.32209,-0.225902,0.0424094,-0.25949,-0.50354,0.02014,-0.32209,
-0.42297,0.16617,-0.31538,-0.225902,0.0424094,-0.25949,-0.42297,0.16617,-0.31538,
-0.31723,0.19135,-0.33887,-0.225902,0.0424094,-0.25949,-0.31723,0.19135,-0.33887,
-0.35751,-0.07553,-0.28519,-0.225902,0.0424094,-0.25949,-0.35751,-0.07553,-0.28519,
-0.35751,-0.09064,-0.22144,-0.225902,0.0424094,-0.25949,-0.35751,-0.09064,-0.22144,
-0.3273,0.24673,-0.14427,-0.225902,0.0424094,-0.25949,-0.3273,0.24673,-0.14427,
-0.23364,0.12085,-0.08589,-0.225902,0.0424094,-0.25949,-0.23364,0.12085,-0.08589,
-0.0856,0.14603,-0.29861,-0.225902,0.0424094,-0.25949,-0.0856,0.14603,-0.29861,
-0.46829,0.16617,-0.45294,-0.225902,0.0424094,-0.25949,-0.46829,0.16617,-0.45294,
-0.28601,0.07654,-0.50998,-0.225902,0.0424094,-0.25949,-0.28601,0.07654,-0.50998,
-0.33737,0.03021,-0.29861,-0.225902,0.0424094,-0.25949,-0.33737,0.03021,-0.29861,
-0.51865,0.02014,-0.33551,-0.225902,0.0424094,-0.25949,-0.51865,0.02014,-0.33551,
